;time;open;high;low;close;tick_volume;spread;real_volume
5984;2017-08-29 01:00:00;0.95187;0.95213;0.94984;0.95159;31666;5;0
5985;2017-08-29 02:00:00;0.95158;0.95337;0.95152;0.9524;23989;6;0
5986;2017-08-29 03:00:00;0.95241;0.95339;0.95212;0.95335;19880;4;0
5987;2017-08-29 04:00:00;0.95335;0.95351;0.95177;0.95244;15686;4;0
5988;2017-08-29 05:00:00;0.95245;0.95259;0.95207;0.95214;14747;5;0
5989;2017-08-29 06:00:00;0.95214;0.95234;0.95178;0.95224;15745;5;0
5990;2017-08-29 07:00:00;0.95223;0.95269;0.95212;0.95241;12367;6;0
5991;2017-08-29 08:00:00;0.95241;0.95294;0.95221;0.95249;12345;4;0
5992;2017-08-29 09:00:00;0.95248;0.95314;0.95018;0.95023;15994;4;0
5993;2017-08-29 10:00:00;0.95022;0.95038;0.94755;0.94755;23532;4;0
5994;2017-08-29 11:00:00;0.94755;0.94845;0.94497;0.94551;23241;4;0
5995;2017-08-29 12:00:00;0.94551;0.94551;0.94278;0.94495;19977;4;0
5996;2017-08-29 13:00:00;0.94495;0.94507;0.94318;0.94435;18794;4;0
5997;2017-08-29 14:00:00;0.94435;0.9454;0.94322;0.94535;14907;4;0
5998;2017-08-29 15:00:00;0.94532;0.94589;0.944;0.94556;14335;4;0
5999;2017-08-29 16:00:00;0.94555;0.94673;0.94498;0.9461;19770;4;0
6000;2017-08-29 17:00:00;0.94605;0.94814;0.94599;0.94702;24603;4;0
6001;2017-08-29 18:00:00;0.94702;0.94882;0.94689;0.94803;20812;4;0
6002;2017-08-29 19:00:00;0.94803;0.95126;0.94783;0.95048;17146;4;0
6003;2017-08-29 20:00:00;0.95051;0.95237;0.94997;0.95205;14683;4;0
6004;2017-08-29 21:00:00;0.95201;0.95456;0.95201;0.95377;14763;4;0
6005;2017-08-29 22:00:00;0.95378;0.95587;0.95354;0.95565;16312;4;0
6006;2017-08-29 23:00:00;0.95565;0.95604;0.9551;0.95526;15058;5;0
6007;2017-08-30 00:00:00;0.95547;0.95572;0.95463;0.95509;5599;9;0
6008;2017-08-30 01:00:00;0.95509;0.95517;0.95447;0.95464;28758;7;0
6009;2017-08-30 02:00:00;0.95459;0.95702;0.95453;0.9557;26283;4;0
6010;2017-08-30 03:00:00;0.95576;0.95618;0.95495;0.95549;14087;4;0
6011;2017-08-30 04:00:00;0.95549;0.95591;0.95496;0.95536;19279;4;0
6012;2017-08-30 05:00:00;0.95534;0.95548;0.95499;0.9553;20032;6;0
6013;2017-08-30 06:00:00;0.9553;0.95562;0.95506;0.95539;13244;6;0
6014;2017-08-30 07:00:00;0.95538;0.95576;0.95502;0.95574;12009;5;0
6015;2017-08-30 08:00:00;0.95574;0.95625;0.95492;0.9553;17794;4;0
6016;2017-08-30 09:00:00;0.9553;0.9572;0.95528;0.95603;19886;4;0
6017;2017-08-30 10:00:00;0.95606;0.95642;0.95381;0.95444;20222;4;0
6018;2017-08-30 11:00:00;0.95441;0.95583;0.95404;0.95574;15745;4;0
6019;2017-08-30 12:00:00;0.95576;0.95625;0.95535;0.95571;14525;4;0
6020;2017-08-30 13:00:00;0.9557;0.95663;0.95568;0.95625;12217;4;0
6021;2017-08-30 14:00:00;0.95625;0.95796;0.95616;0.95766;15189;4;0
6022;2017-08-30 15:00:00;0.95765;0.96077;0.95724;0.95932;20667;4;0
6023;2017-08-30 16:00:00;0.95932;0.96017;0.95773;0.96012;21426;4;0
6024;2017-08-30 17:00:00;0.96012;0.96076;0.95906;0.95963;21327;4;0
6025;2017-08-30 18:00:00;0.95963;0.9601;0.95806;0.95835;18973;4;0
6026;2017-08-30 19:00:00;0.95836;0.96111;0.95834;0.9608;15039;4;0
6027;2017-08-30 20:00:00;0.9608;0.96181;0.9608;0.96146;16313;5;0
6028;2017-08-30 21:00:00;0.96146;0.96372;0.96115;0.96334;14643;4;0
6029;2017-08-30 22:00:00;0.96333;0.96454;0.96333;0.96401;12334;5;0
6030;2017-08-30 23:00:00;0.96401;0.96413;0.96337;0.96348;10353;4;0
6031;2017-08-31 00:00:00;0.96344;0.96352;0.96192;0.96229;4767;7;0
6032;2017-08-31 01:00:00;0.96229;0.96318;0.96222;0.96298;30121;6;0
6033;2017-08-31 02:00:00;0.96296;0.96387;0.96296;0.96369;24401;7;0
6034;2017-08-31 03:00:00;0.96352;0.96398;0.96288;0.96302;19497;6;0
6035;2017-08-31 04:00:00;0.96303;0.96454;0.96276;0.96405;15030;5;0
6036;2017-08-31 05:00:00;0.96405;0.96422;0.96371;0.96399;9598;4;0
6037;2017-08-31 06:00:00;0.96399;0.96428;0.9635;0.9641;8798;4;0
6038;2017-08-31 07:00:00;0.96409;0.96425;0.96362;0.96364;13116;5;0
6039;2017-08-31 08:00:00;0.96364;0.96385;0.96297;0.96382;12800;4;0
6040;2017-08-31 09:00:00;0.96381;0.96447;0.9625;0.96338;15242;4;0
6041;2017-08-31 10:00:00;0.96338;0.96455;0.96315;0.96362;18670;4;0
6042;2017-08-31 11:00:00;0.96362;0.96438;0.96298;0.96334;14366;4;0
6043;2017-08-31 12:00:00;0.96334;0.96585;0.96287;0.96548;18808;4;0
6044;2017-08-31 13:00:00;0.96548;0.96728;0.96464;0.9647;17856;4;0
6045;2017-08-31 14:00:00;0.96472;0.96771;0.96472;0.96766;15744;4;0
6046;2017-08-31 15:00:00;0.96766;0.96794;0.96521;0.9663;21110;4;0
6047;2017-08-31 16:00:00;0.9663;0.9665;0.96542;0.96593;21147;4;0
6048;2017-08-31 17:00:00;0.96594;0.96621;0.96074;0.9611;24465;4;0
6049;2017-08-31 18:00:00;0.9611;0.96261;0.95934;0.96113;22758;4;0
6050;2017-08-31 19:00:00;0.96115;0.96247;0.96087;0.96172;14005;4;0
6051;2017-08-31 20:00:00;0.96173;0.96205;0.96068;0.96085;18851;4;0
6052;2017-08-31 21:00:00;0.96085;0.96093;0.95942;0.95985;16460;4;0
6053;2017-08-31 22:00:00;0.95984;0.95984;0.95873;0.9588;12381;5;0
6054;2017-08-31 23:00:00;0.95882;0.95894;0.95824;0.95856;12193;4;0
6055;2017-09-01 00:00:00;0.95856;0.96299;0.95763;0.95817;8865;6;0
6056;2017-09-01 01:00:00;0.95821;0.95956;0.95796;0.95952;22099;9;0
6057;2017-09-01 02:00:00;0.95953;0.95983;0.95924;0.95955;23880;5;0
6058;2017-09-01 03:00:00;0.95954;0.95973;0.95933;0.95939;20176;6;0
6059;2017-09-01 04:00:00;0.95938;0.96022;0.95926;0.95962;12077;6;0
6060;2017-09-01 05:00:00;0.95962;0.95982;0.95926;0.95969;14920;7;0
6061;2017-09-01 06:00:00;0.95969;0.95985;0.95945;0.95972;12097;5;0
6062;2017-09-01 07:00:00;0.95972;0.96016;0.95956;0.96006;5188;5;0
6063;2017-09-01 08:00:00;0.96006;0.96058;0.96006;0.96016;14190;6;0
6064;2017-09-01 09:00:00;0.96016;0.96105;0.9599;0.96078;14994;4;0
6065;2017-09-01 10:00:00;0.96077;0.96146;0.96041;0.96122;14071;4;0
6066;2017-09-01 11:00:00;0.96122;0.96133;0.95998;0.96133;19357;4;0
6067;2017-09-01 12:00:00;0.96133;0.96138;0.96022;0.96051;17528;4;0
6068;2017-09-01 13:00:00;0.9605;0.96068;0.95906;0.95965;20004;4;0
6069;2017-09-01 14:00:00;0.95965;0.95979;0.95903;0.95969;17662;4;0
6070;2017-09-01 15:00:00;0.95967;0.96013;0.95451;0.95892;23260;4;0
6071;2017-09-01 16:00:00;0.95892;0.96187;0.95773;0.96144;25400;4;0
6072;2017-09-01 17:00:00;0.96198;0.96326;0.96084;0.9628;21668;4;0
6073;2017-09-01 18:00:00;0.96277;0.9638;0.96114;0.96262;18840;4;0
6074;2017-09-01 19:00:00;0.96263;0.96508;0.96219;0.96482;15703;5;0
6075;2017-09-01 20:00:00;0.96482;0.96523;0.96386;0.96483;14152;4;0
6076;2017-09-01 21:00:00;0.96483;0.96523;0.9647;0.96483;12632;5;0
6077;2017-09-01 22:00:00;0.96481;0.96512;0.96441;0.96454;10533;4;0
6078;2017-09-01 23:00:00;0.96454;0.96517;0.9642;0.96445;14528;6;0
6079;2017-09-04 00:00:00;0.95997;0.96047;0.95852;0.95918;1569;6;0
6080;2017-09-04 01:00:00;0.95924;0.96147;0.95923;0.96099;26525;6;0
6081;2017-09-04 02:00:00;0.96098;0.96134;0.96082;0.96086;24358;6;0
6082;2017-09-04 03:00:00;0.96087;0.96176;0.96072;0.96141;14353;4;0
6083;2017-09-04 04:00:00;0.96142;0.96159;0.96067;0.96071;18248;5;0
6084;2017-09-04 05:00:00;0.96071;0.96114;0.96069;0.96087;12699;4;0
6085;2017-09-04 06:00:00;0.96088;0.96125;0.96051;0.96116;14104;5;0
6086;2017-09-04 07:00:00;0.96116;0.96117;0.96092;0.96104;14668;5;0
6087;2017-09-04 08:00:00;0.96104;0.96106;0.9603;0.96082;13025;6;0
6088;2017-09-04 09:00:00;0.96082;0.96083;0.9578;0.95956;17245;4;0
6089;2017-09-04 10:00:00;0.95957;0.9607;0.95912;0.96033;15092;4;0
6090;2017-09-04 11:00:00;0.96033;0.96035;0.95521;0.95615;16802;4;0
6091;2017-09-04 12:00:00;0.95615;0.958;0.95609;0.95735;17483;4;0
6092;2017-09-04 13:00:00;0.95734;0.95839;0.95691;0.95747;16576;4;0
6093;2017-09-04 14:00:00;0.95747;0.95813;0.95708;0.95744;16126;4;0
6094;2017-09-04 15:00:00;0.95745;0.95804;0.9571;0.95756;17232;4;0
6095;2017-09-04 16:00:00;0.95756;0.95805;0.9567;0.95684;18168;4;0
6096;2017-09-04 17:00:00;0.95684;0.95722;0.95518;0.95617;17487;4;0
6097;2017-09-04 18:00:00;0.95617;0.95751;0.95591;0.95748;15411;5;0
6098;2017-09-04 19:00:00;0.95747;0.95915;0.95726;0.95836;14739;4;0
6099;2017-09-04 20:00:00;0.95837;0.959;0.95734;0.95781;15233;4;0
6100;2017-09-04 21:00:00;0.95781;0.95822;0.95743;0.95751;26716;32;0
